month,community_district,numbldgs,unitstotal,asland_sqft,pct_clean_strts,pct_lot_area_open_space,pct_lot_area_public_facility_institution,pct_lot_area_res_1_2_family_bldg,pct_lot_area_res_multifamily_walkup,restaurant,business
4/1/18,,3713,36803,7.527634527,83.7,20.85,12.42,10.23,12.41,618,268
4/1/18,,3387,57385,9.660092483,89.2,15.89,12.24,4.44,12.29,21,587
4/1/18,,3505,53388,9.995915302,89.1,6.7,15.95,11.95,16.63,259,534
4/1/18,,4575,35928,6.5366628,77.6,24.81,18.5,8.14,12.64,142,412
4/1/18,,4149,54899,10.30762568,83,7.31,21.5,9.48,14.65,239,448
4/1/18,,5542,46626,6.242401917,100,8.55,18.36,26.62,4.32,124,280
4/1/18,,13742,67092,5.398121557,87.9,12.89,6.34,21.49,13.91,28,536
4/1/18,,20518,52136,4.469869393,100,19.86,11.12,33.07,6.72,327,491
4/1/18,,15417,54969,6.212755599,100,0.71,17.12,39.36,8.51,173,557
4/1/18,,24965,57877,4.759780051,76.9,21.02,6.2,36.12,11.4,509,586
4/1/18,,17147,100971,10.78427042,86.4,5.19,5.33,5.25,16.9,217,889
4/1/18,,8792,92363,24.90996012,89.1,8.15,14.05,8.52,12.44,268,574
4/1/18,,17291,75550,7.386303189,80.1,3.58,11.83,24.01,27.9,310,519
4/1/18,,11669,45929,6.324433451,88.4,15.64,8.36,19.96,30,296,516
4/1/18,,23842,80991,7.760995776,98.8,12.88,7.57,26.48,10.95,192,747
4/1/18,,14401,60480,10.19918621,100,5.73,5.08,13.75,21.2,116,523
4/1/18,,14707,46647,7.683347306,97.3,27.88,3.59,15.65,11.21,1393,700
4/1/18,,8429,50436,8.658653656,83.5,5.29,9.95,18.84,31.79,4199,322
4/1/18,,8839,42765,9.35865698,98.7,1.71,19.59,32.61,15.47,4118,244
4/1/18,,24361,57029,6.870534058,98.9,22.85,14.79,36.09,9.88,2700,620
4/1/18,,29624,74361,7.254458861,93.6,2.49,4.12,43.75,27.28,3827,1002
4/1/18,,25105,66549,9.396410191,98.9,5.81,7.06,39.34,21.96,1870,886
4/1/18,,8169,49603,8.753933296,100,25.05,7.49,13.61,7.44,1750,501
4/1/18,,17127,65900,9.960138777,90,3.52,8.41,47.17,9.79,2433,641
4/1/18,,30913,70473,7.826133684,99,3.81,8.83,51.53,8.31,420,815
4/1/18,,8704,38764,8.540645047,61.7,5.28,9.11,22.29,20.62,628,312
4/1/18,,25238,61225,8.589272738,100,7.51,6.86,42.64,18.29,431,565
4/1/18,,45221,69278,12.14469027,95.5,22.46,4.64,45.25,5.38,1111,713
4/1/18,,25111,97606,10.58201991,98,6.02,16.86,14.19,15.18,2577,1198
4/1/18,,12363,80837,12.6565547,99.1,20.68,3.54,10.44,7.65,1191,691
4/1/18,,19654,57898,17.82866676,100,1.93,6.63,43.21,18.58,1307,793
4/1/18,,15015,57551,12.43246676,98.3,2.66,6.89,27.05,27.85,863,688
4/1/18,,41856,71798,5.872876375,97.3,31.04,2.5,30.91,9.87,807,1041
