,cd,boro,date,year,month,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,fs_openhours,fs_open,trs_permits,paper_baskets,mgp_baskets,total_number_of_households,hh_compost_num,hh_compost_percent,shape_area,wfr_avg_recycling,wfr_avg_refuse,wfr_avg_bulk,bigbelly,seasonal_wire_litter_basket,highend_basket,publicspacereceptacle,wire_basket,total_litter_baskets
3148,QN11,QN,2019-03-01,2019,3,2441.5,424.0,386.4,83.6,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3149,QN11,QN,2019-04-01,2019,4,2866.2,451.5,442.9,126.5,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3150,QN11,QN,2019-05-01,2019,5,3228.4,464.3,447.2,143.1,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3151,QN11,QN,2019-06-01,2019,6,3130.8,490.5,463.4,124.9,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3152,QN11,QN,2019-07-01,2019,7,3151.0,488.7,466.1,111.5,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3153,QN11,QN,2019-08-01,2019,8,2947.4,442.7,420.2,106.0,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3154,QN11,QN,2019-09-01,2019,9,2787.2,428.2,397.1,98.7,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3155,QN11,QN,2019-10-01,2019,10,2963.1,469.8,443.0,182.1,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3156,QN11,QN,2019-11-01,2019,11,2759.6,422.5,380.8,356.4,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
3157,QN11,QN,2019-12-01,2019,12,2859.3,561.2,461.2,187.4,19.349999999999998,1.0,0.0,13.0,13.0,45313,0,0.0,0.002585193265455099,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,9.0
